Gene,Detection_Rate,Mean_Expression,Median_Expression
ABHD17B,1,2.89053901523803,2.94110631094643
ABHD17C,1,2.96304089691827,3.19849415363908
ABHD2,1,3.7348272885865,3.6564963705535
ABHD3,1,2.90799665510189,3.09929520433778
ABHD4,1,4.59652452891208,4.88947354253111
ABHD5,1,2.54897522423956,2.58976348698498
ABHD6,1,3.23776353443862,3.37989816352469
ABHD8,1,4.62341997803708,4.82425869660337
ABI1,1,3.86284704972869,3.93640237772506
ABI2,1,4.32346524728084,4.27872821293894
ABI3,1,3.43514580899268,3.38543103719352
ABI3BP,1,1.85674596093303,1.58014548442338
ABL1,1,4.06869751221041,4.26978123827438
ABL2,1,2.08956604329231,1.96347412397489
ABLIM1,1,3.72238337792916,3.88362081628567
ABLIM2,1,2.6560236641085,2.55090066464752
ABLIM3,1,2.69569712096555,2.78450398292957
ABO,0.755274261603376,0.170094665572626,0.0976107966264223
ABR,1,5.71154041474125,5.78031009904338
ABRA,0.527426160337553,0.0334383198114803,0.0143552929770701
ABRACL,0.970464135021097,3.4674707324475,3.84699468696557
ABT1,1,3.35685446810655,3.55458885167764
ABTB1,1,4.56471156780755,4.76871365703049
ABTB2,1,1.87112052281286,1.83592407425438
AC000032.2,0.738396624472574,0.716919169348751,0.454175893185802
AC000068.10,0.848101265822785,0.92071703772929,0.659924558402378
AC000068.5,0.983122362869198,0.365783110048293,0.321928094887362
AC000068.9,0.531645569620253,0.761867934118605,0.124328135002202
AC000078.5,0.721518987341772,0.361192581555707,0.214124805352847
AC000120.7,0.864978902953587,0.435831199395388,0.356143810225275
AC000123.4,0.759493670886076,0.47277546973451,0.464668267003444
AC002055.4,1,4.44544078281106,4.75167794568758
AC002059.10,0.856540084388186,1.08010997435508,1
AC002116.7,0.738396624472574,0.277742046674051,0.214124805352847
AC002116.8,0.907172995780591,2.07183446920928,2.19849415363908
AC002310.12,1,1.30110277534264,1.26903314645524
AC002310.7,0.822784810126582,0.197499648776007,0.124328135002202
AC002398.11,0.9957805907173,1.51672508577262,1.4905701304462
AC002398.5,0.915611814345992,0.309806253073672,0.214124805352847
AC002398.9,0.869198312236287,2.74351920758651,2.97452931248388
AC002429.5,0.890295358649789,0.347889250979291,0.176322772640463
AC002451.3,0.835443037974684,1.37160393689889,1.29865831556452
AC002454.1,0.772151898734177,1.37546262711789,0.799087306074004
AC002456.2,0.877637130801688,2.12922702244798,2.19534759832222
AC002467.7,0.983122362869198,2.39777168282161,2.60407132366886
AC002472.13,0.881856540084388,0.322840760551931,0.137503523749935
AC002480.3,0.949367088607595,0.295279721051922,0.22650852980868
AC002480.5,0.80168776371308,0.187822010521974,0.137503523749935
AC003002.6,0.810126582278481,0.573706412184288,0.464668267003444
AC003003.5,0.894514767932489,0.155316600093075,0.111031312388744
AC003005.2,0.767932489451477,0.531430914511333,0.356143810225275
AC003006.7,0.641350210970464,0.472953402302564,0.333423733725192
AC003075.4,0.924050632911392,1.32005748855218,1.32192809488736
AC003090.1,0.932489451476793,0.728673637235407,0.526068811667588
AC003102.1,0.476793248945148,0.0955153555972542,0
AC003102.3,0.978902953586498,0.462391746936824,0.367371065648529
AC003104.1,0.70042194092827,0.198208549578833,0.137503523749935
AC003665.1,1,1.23551873558588,1.23878685958712
AC003986.6,0.746835443037975,0.191518387496506,0.0976107966264223
AC003991.3,0.556962025316456,0.143083631408914,0.0840642647884746
AC004017.1,0.493670886075949,1.00198200300663,0
AC004019.10,0.535864978902954,0.0999234278404741,0.0426443374084937
AC004019.13,0.962025316455696,0.53875222586739,0.432959407276106
AC004019.18,0.881856540084388,1.60180414024911,1.59454854955035
