Gene,Detection_Rate,Mean_Expression,Median_Expression
POU2AF1,0.973880597014925,0.088181726473544,0.0569299134168065
PTPN5,0.996268656716418,1.12685934258697,0.973684447732602
VWF,1,4.77350512008927,4.81338462279833
PSMD9,1,0.87309199966971,0.840523549392733
P3H3,1,2.29159162146841,2.22234028310332
PPFIBP1,1,2.34014173267885,2.28783365127658
PRPF40B,1,1.15895637617814,1.06990645723398
CD69,1,1.23641170175456,1.10041315466251
PRDM4,1,3.06353667654624,3.07611168901517
CLEC2B,1,1.9519960493368,1.82687534697731
COQ5,1,3.91613692436957,3.86671965059457
SELPLG,1,3.77916276089756,3.85812009014593
CORO1C,1,5.19040118598339,5.19519246101423
ASIC1,1,2.86887457970903,2.83402289537133
DAO,0.91044776119403,0.252498279377196,0.0570689673895528
CAPRIN2,1,2.52884091399703,2.51715960140272
TSPAN11,1,2.78128191024536,2.87124050830466
KCTD10,1,2.63684926953874,2.63617197571385
SLC11A2,1,3.51824431569112,3.51625092435786
MLEC,1,5.02179837708998,5.06358462559482
MVK,1,1.78605013276226,1.75806839238814
CSRNP2,1,3.54690365089603,3.57220412935536
CAMKK2,1,2.96062524899875,2.93261660165339
BIN2,1,2.13869422624555,2.14855587970087
IL23A,1,0.797825932351409,0.736992263910786
ATP5F1B,1,8.06961644005059,8.07412988623874
PTGES3,1,6.0631615007249,6.2575355403318
BCL7A,1,2.17708084915961,2.10964467273466
RSRC2,1,3.05622557725263,3.0629652939338
CYP27B1,1,1.04862113656084,0.660925662078133
LIN7A,1,1.88166788840313,1.77797661333037
KRT18,1,0.577642815433808,0.430980071346097
ACSS3,1,1.89594749587088,1.94358597230329
TNS2,1,3.20090869164748,3.22891781479294
GLI1,1,0.690102866355143,0.427820648100363
PPM1H,1,1.62075653281759,1.53503210027054
METAP2,1,4.50272021164869,4.54512137339728
LTA4H,1,3.18852431924656,3.14524531687767
ELK3,1,3.27494805982108,3.29778312372021
SLC6A12,1,1.11587698051916,1.00679969351813
WNT5B,1,0.814460180530928,0.711097362845612
MAGOHB,1,2.03602542502291,2.00168921264997
TRPV4,1,0.596645905140918,0.497483110291477
ITFG2,1,2.11080426536552,2.06911780203707
FOXM1,1,2.84215104423965,2.80606371451424
PRR4,0.985074626865672,0.438129416952229,0.337253972574411
PRMT8,0.992537313432836,0.340857776901324,0.245737549593041
PARP11,1,1.96913340301071,1.9639619721479
ARPC3,1,5.3107377015476,5.31739612760858
GPN3,1,3.16308949752531,3.14181692185498
VPS29,1,4.06474947159693,4.03510614410185
RAD51AP1,1,2.2632866944909,2.21384494478535
CUX2,0.996268656716418,0.402989655436478,0.200064860147735
SH2B3,1,3.24315264244006,3.24985777621514
AKAP3,1,0.920905332951726,0.899291336274063
MANSC1,1,2.14731501048245,2.14026782228167
KCNA1,0.992537313432836,0.529886142633876,0.318345762621751
DUSP16,1,3.0728679717883,3.06542135396276
CREBL2,1,4.15858166134386,4.19327226062137
ACAD10,1,2.27687148832981,2.25937705367873
ALDH2,1,3.09306246424778,3.12046823080232
CDKN1B,1,5.11429843343974,5.137802297636
GPRC5D,0.854477611940298,0.175651652997119,0.117229506983739
NAA25,1,2.13896245559767,2.10946059730484
GSG1,0.985074626865672,0.242607378567632,0.19874553255806
SCNN1A,0.988805970149254,0.115548231936896,0.071762434206017
LTBR,1,2.33917305227825,2.28211868330487
OGFOD2,1,0.336108842639602,0.284156600494642
CDK2AP1,1,5.47962860145052,5.60058936687422
OAS3,1,3.24415152046612,3.10427782818982
OAS2,1,2.5410263082619,2.41337744425098
ART4,0.861940298507463,0.0878781240145112,0.0252414593904875
MGP,1,4.19593197384942,4.08561299804608
RASAL1,1,0.684164916186228,0.430326568128744
ARHGDIB,1,5.81704199265318,5.8727758126214
GTF2H3,1,3.37282228619803,3.36491554619524
EIF2B1,1,4.19378188117434,4.19778421621242
DDX55,1,2.31858607008004,2.2971305009033
SLC38A1,1,3.00962023022822,2.98138685848799
RERGL,0.996268656716418,1.27547882279588,1.12557970764357
ENDOU,1,0.657103504680225,0.553795899011813
SPRING1,1,3.62026982216331,3.60421056586007
VDR,1,0.69624317639645,0.537146529107243
FZD10,1,0.345068161341382,0.286467199273758
RFC5,1,2.97480659541547,2.95887695914294
STX2,1,3.27933324967393,3.28838808228398
ADGRD1,1,0.454969246419025,0.381061824171322
COPZ1,1,5.26070941369911,5.29833201049493
TBC1D30,1,0.347911006985277,0.281668536038345
CAND1,1,3.80732053702059,3.7473761907872
RAB5B,1,4.75837534755026,4.76404214867491
MDM1,1,1.99518859980103,1.89213840012514
NUP107,1,2.77957958911822,2.63956783328698
CNOT2,1,2.81593207108357,2.7221699025394
